prnameFR,date,update,numconf,numprob,numdeaths,numtotal,numtested,numtests
Canada,44450,0,1542954,0,27189,1542954,0,41422407
Canada,44451,0,1547179,0,27198,1547179,0,41513340
Canada,44452,0,1551076,0,27237,1551076,0,41593358
Canada,44453,0,1555120,0,27263,1555120,0,41668860
Canada,44454,0,1559403,0,27305,1559403,0,41752512
Canada,44455,0,1564092,0,27325,1564092,0,41861477
Canada,44456,0,1569186,0,27370,1569186,0,41973569
Canada,44457,0,1573722,0,27384,1573722,0,42088413
Canada,44458,0,1578057,0,27395,1578057,0,42190807
Canada,44459,0,1581914,0,27434,1581914,0,42287266
Canada,44460,0,1585732,0,27488,1585732,0,42370518
Canada,44461,0,1589584,0,27537,1589584,0,42461133
Canada,44462,0,1594202,0,27581,1594202,0,42578032
Canada,44463,0,1598807,0,27620,1598807,0,42704817
Canada,44464,0,1603759,0,27642,1603759,0,42825153
Canada,44465,0,1608092,0,27653,1608092,0,42921513
Canada,44466,0,1612371,0,27699,1612371,0,43006019
Canada,44467,0,1615859,0,27754,1615859,0,43124516
Canada,44468,0,1620137,0,27819,1620137,0,43215201
Canada,44469,0,1624725,0,27871,1624725,0,43332881
Canada,44470,0,1629142,0,27921,1629142,0,43456266
Canada,44471,0,1633569,0,27945,1633569,0,43577069
Canada,44472,0,1637203,0,27953,1637203,0,43676750
Canada,44473,0,1640606,0,28001,1640606,0,43775201
Canada,44474,0,1643420,0,28050,1643420,0,43857667
Canada,44475,0,1647136,0,28112,1647136,0,43945130
Canada,44476,0,1651236,0,28141,1651236,0,44067861
Canada,44477,0,1655364,0,28186,1655364,0,44186056
Canada,44478,0,1659065,0,28198,1659065,0,44307047
Canada,44479,0,1662595,0,28208,1662595,0,44411929
Canada,44480,0,1665252,0,28220,1665252,0,44502130
Canada,44481,0,1667575,0,28289,1667575,0,44572076
Canada,44482,0,1670215,0,28367,1670215,0,44641851
Canada,44483,0,1673408,0,28421,1673408,0,44725696
Canada,44484,0,1676846,0,28468,1676846,0,44836340
Canada,44485,0,1680193,0,28481,1680193,0,44950458
Canada,44486,0,1683087,0,28493,1683087,0,45052678
Canada,44487,0,1685359,0,28564,1685359,0,45140412
Canada,44488,0,1687616,0,28603,1687616,0,45212799
Canada,44489,0,1690258,0,28644,1690258,0,45290975
Canada,44490,0,1693152,0,28667,1693152,0,45394437
Canada,44491,0,1695914,0,28729,1695914,0,45496284
Canada,44492,0,1698465,0,28745,1698465,0,45589866
Canada,44493,0,1700745,0,28749,1700745,0,45676990
Canada,44494,0,1702601,0,28805,1702601,0,45754874
Canada,44495,0,1704374,0,28840,1704374,0,45819418
Canada,44496,0,1706870,0,28881,1706870,0,45883647
Canada,44497,0,1709536,0,28928,1709536,0,45995324
Canada,44498,0,1712128,0,28952,1712128,0,46092312
Canada,44499,0,1714503,0,28965,1714503,0,46185114
Canada,44500,0,1716559,0,28970,1716559,0,46257864
Canada,44501,0,1718496,0,29023,1718496,0,46323948
Canada,44502,0,1720349,0,29056,1720349,0,46407041
Canada,44503,0,1722573,0,29094,1722573,0,46478368
Canada,44504,0,1725150,0,29114,1725150,0,46580546
Canada,44505,0,1727683,0,29132,1727683,0,46679607
Canada,44506,0,1730437,0,29143,1730437,0,46777726
Canada,44507,0,1732879,0,29156,1732879,0,46868480
Canada,44508,0,1735017,0,29193,1735017,0,46950290
Canada,44509,0,1737404,0,29217,1737404,0,47022347
Canada,44510,0,1740005,0,29249,1740005,0,47095842
Canada,44511,0,1742721,0,29267,1742721,0,47200157
Canada,44512,0,1745349,0,29309,1745349,0,47295997
Canada,44513,0,1747987,0,29324,1747987,0,47385514
Canada,44514,0,1750297,0,29340,1750297,0,47466188
Canada,44515,0,1752468,0,29384,1752468,0,47540334
Canada,44516,0,1754383,0,29403,1754383,0,47608467
Canada,44517,0,1756805,0,29431,1756805,0,47678781
Canada,44518,0,1759559,0,29462,1759559,0,47790440
Canada,44519,0,1762434,0,29481,1762434,0,47889820
Canada,44520,0,1765329,0,29492,1765329,0,47983902
Canada,44521,0,1767790,0,29501,1767790,0,48068518
Canada,44522,0,1770095,0,29523,1770095,0,48148527
Canada,44523,0,1772330,0,29555,1772330,0,48215038
Canada,44524,0,1774936,0,29579,1774936,0,48289085
Canada,44525,0,1777814,0,29600,1777814,0,48388185
Canada,44526,0,1782171,0,29618,1782171,0,48485587
Canada,44527,0,1785191,0,29634,1785191,0,48582806
Canada,44528,0,1787810,0,29643,1787810,0,48666978
Canada,44529,0,1790142,0,29670,1790142,0,48740327
Canada,44530,0,1792494,0,29686,1792494,0,48807147
Canada,44531,0,1795640,0,29713,1795640,0,48895595
Canada,44532,0,1798862,0,29737,1798862,0,49000664
Canada,44533,0,1802359,0,29757,1802359,0,49099908
Canada,44534,0,1805967,0,29768,1805967,0,49239892
Canada,44535,0,1809368,0,29773,1809368,0,49332335
Canada,44536,0,1812244,0,29800,1812244,0,49415557
Canada,44537,0,1815211,0,29827,1815211,0,49518440
Canada,44538,0,1818741,0,29851,1818741,0,49600916
Canada,44539,0,1822999,0,29876,1822999,0,49711113
Canada,44540,0,1827755,0,29900,1827755,0,49829014
Canada,44541,0,1832684,0,29914,1832684,0,49946184
Canada,44542,0,1836990,0,29926,1836990,0,50051754
Canada,44543,0,1841139,0,29941,1841139,0,50147977
Canada,44544,0,1845527,0,29969,1845527,0,50263570
Canada,44545,0,1851402,0,29993,1851402,0,50364181
Canada,44546,0,1858527,0,30012,1858527,0,50492289
Canada,44547,0,1867700,0,30032,1867700,0,50635831
Canada,44548,0,1877102,0,30043,1877102,0,50781760
Canada,44549,0,1887707,0,30050,1887707,0,50923671
Canada,44550,0,1898380,0,30062,1898380,0,51062934
Canada,44551,0,1910059,0,30085,1910059,0,51200748
Canada,44552,0,1925061,0,30113,1925061,0,51335354
Canada,44553,0,1945754,0,30131,1945754,0,51486352
Canada,44554,0,1961723,0,30143,1961723,0,51664665
Canada,44555,0,1979125,0,30146,1979125,0,51845879
Canada,44556,0,1994149,0,30153,1994149,0,52022712
Canada,44557,0,2043297,0,30189,2043297,0,52158753
Canada,44558,0,2070350,0,30218,2070350,0,52277276
Canada,44559,0,2102470,0,30253,2102470,0,52408105
Canada,44560,0,2142472,0,30280,2142472,0,52560743
Canada,44561,0,2188309,0,30319,2188309,0,52662229
Canada,44562,0,2234427,0,30339,2234427,0,52758293
Canada,44563,0,2279756,0,30369,2279756,0,52773950
Canada,44564,0,2317833,0,30399,2317833,0,52788460
Canada,44565,0,2355241,0,30455,2355241,0,53389738
Canada,44566,0,2394674,0,30524,2394674,0,53527515
Canada,44567,0,2437811,0,30584,2437811,0,53673329
Canada,44568,0,2482142,0,30667,2482142,0,53826002
Canada,44569,0,2523198,0,30743,2523198,0,53926601
Canada,44570,0,2561786,0,30788,2561786,0,53944481
Canada,44571,0,2595960,0,30843,2595960,0,54289765
Canada,44572,0,2624909,0,30957,2624909,0,54405632
Canada,44573,0,2657384,0,31082,2657384,0,54573342
Canada,44574,0,2688741,0,31190,2688741,0,54722072
Canada,44575,0,2720411,0,31323,2720411,0,54865536
Canada,44576,0,2749307,0,31466,2749307,0,54955555
Canada,44577,0,2777845,0,31544,2777845,0,54965957
Canada,44578,0,2801451,0,31679,2801451,0,55234662
Canada,44579,0,2822614,0,31827,2822614,0,55395805
Canada,44580,0,2844911,0,32008,2844911,0,55492076
Canada,44581,0,2868862,0,32220,2868862,0,55602784
