Dates,Total Cases,Confirmed Positive,Positivity Rate,Total Tests,Daily New Cases
2021-09-03,1511212,1511212,0.037056222,40781599,4206
2021-09-04,1515235,1515235,0.037074229,40870304,1651
2021-09-05,1519369,1519369,0.037103526,40949451,1744
2021-09-06,1522327,1522327,0.037108817,41023323,1050
2021-09-07,1525646,1525646,0.037133857,41085040,9896
2021-09-08,1529287,1529287,0.037162709,41151117,3705
2021-09-09,1533465,1533465,0.037194474,41228302,4261
2021-09-10,1538093,1538093,0.037219702,41324700,4599
2021-09-11,1542954,1542954,0.03724926,41422407,945
2021-09-12,1547179,1547179,0.037269442,41513340,2803
2021-09-13,1551076,1551076,0.037291435,41593358,9227
2021-09-14,1555120,1555120,0.037320915,41668860,4014
2021-09-15,1559403,1559403,0.037348723,41752512,4414
2021-09-16,1564092,1564092,0.037363517,41861477,4671
2021-09-17,1569186,1569186,0.037385098,41973569,5107
2021-09-18,1573722,1573722,0.037390861,42088413,1846
2021-09-19,1578057,1578057,0.037402864,42190807,1822
2021-09-20,1581914,1581914,0.037408756,42287266,8986
2021-09-21,1585732,1585732,0.037425363,42370518,3685
2021-09-22,1589584,1589584,0.037436213,42461133,4115
2021-09-23,1594202,1594202,0.03744189,42578032,4624
2021-09-24,1598807,1598807,0.037438563,42704817,4561
2021-09-25,1603759,1603759,0.037448996,42825153,1045
2021-09-26,1608092,1608092,0.037465874,42921513,1137
2021-09-27,1612371,1612371,0.037491752,43006019,11381
2021-09-28,1615859,1615859,0.037469615,43124516,3464
2021-09-29,1620137,1620137,0.03748998,43215201,4328
2021-09-30,1624725,1624725,0.037494045,43332881,3318
2021-10-01,1629142,1629142,0.037489231,43456266,5794
2021-10-02,1633569,1633569,0.037486895,43577069,1728
2021-10-03,1637203,1637203,0.037484543,43676750,1396
2021-10-04,1640606,1640606,0.037477978,43775201,8377
2021-10-05,1643420,1643420,0.037471669,43857667,2661
2021-10-06,1647136,1647136,0.03748165,43945130,3803
2021-10-07,1651236,1651236,0.037470301,44067861,4111
2021-10-08,1655364,1655364,0.037463493,44186056,4199
2021-10-09,1659065,1659065,0.037444721,44307047,1623
2021-10-10,1662595,1662595,0.037435775,44411929,1612
2021-10-11,1665252,1665252,0.037419602,44502130,1117
2021-10-12,1667575,1667575,0.037412998,44572076,7737
2021-10-13,1670215,1670215,0.037413659,44641851,2706
2021-10-14,1673408,1673408,0.037414912,44725696,3158
2021-10-15,1676846,1676846,0.037399261,44836340,3443
2021-10-16,1680193,1680193,0.037378774,44950458,1550
2021-10-17,1683087,1683087,0.037358201,45052678,1277
2021-10-18,1685359,1685359,0.037335924,45140412,5503
2021-10-19,1687616,1687616,0.037326068,45212799,2346
2021-10-20,1690258,1690258,0.037319974,45290975,2727
2021-10-21,1693152,1693152,0.037298667,45394437,2839
2021-10-22,1695914,1695914,0.037275879,45496284,2665
2021-10-23,1698465,1698465,0.037255319,45589866,1731
2021-10-24,1700745,1700745,0.037234174,45676990,1528
2021-10-25,1702601,1702601,0.037211358,45754874,3507
2021-10-26,1704374,1704374,0.037197635,45819418,1796
2021-10-27,1706870,1706870,0.037199964,45883647,2541
2021-10-28,1709536,1709536,0.037167604,45995324,2640
2021-10-29,1712128,1712128,0.037145631,46092312,2578
2021-10-30,1714503,1714503,0.037122416,46185114,1647
2021-10-31,1716559,1716559,0.03710848,46257864,1519
2021-11-01,1718496,1718496,0.037097356,46323948,3226
2021-11-02,1720349,1720349,0.037070862,46407041,1811
2021-11-03,1722573,1722573,0.037061822,46478368,2275
2021-11-04,1725150,1725150,0.037035848,46580546,2622
2021-11-05,1727683,1727683,0.037011516,46679607,2524
2021-11-06,1730437,1730437,0.036992756,46777726,1288
2021-11-07,1732879,1732879,0.036973228,46868480,1291
2021-11-08,1735017,1735017,0.03695434,46950290,4795
2021-11-09,1737404,1737404,0.036948475,47022347,2364
2021-11-10,1740005,1740005,0.036946043,47095842,2657
2021-11-11,1742721,1742721,0.036921932,47200157,1441
2021-11-12,1745349,1745349,0.036902679,47295997,3922
2021-11-13,1747987,1747987,0.036888636,47385514,1352
2021-11-14,1750297,1750297,0.036874606,47466188,1378
2021-11-15,1752468,1752468,0.036862762,47540334,4370
2021-11-16,1754383,1754383,0.036850231,47608467,1816
2021-11-17,1756805,1756805,0.036846684,47678781,2526
2021-11-18,1759559,1759559,0.036818221,47790440,2798
2021-11-19,1762434,1762434,0.036801851,47889820,2813
2021-11-20,1765329,1765329,0.036790026,47983902,1709
2021-11-21,1767790,1767790,0.036776461,48068518,1475
2021-11-22,1770095,1770095,0.036763222,48148527,4461
2021-11-23,1772330,1772330,0.036758863,48215038,2223
2021-11-24,1774936,1774936,0.036756464,48289085,2676
2021-11-25,1777814,1777814,0.036740663,48388185,4223
2021-11-26,1782171,1782171,0.036756717,48485587,3037
2021-11-27,1785191,1785191,0.036745325,48582806,1982
2021-11-28,1787810,1787810,0.036735587,48666978,1725
2021-11-29,1790142,1790142,0.036728149,48740327,4229
2021-11-30,1792494,1792494,0.036726056,48807147,2352
2021-12-01,1795640,1795640,0.036723963,48895595,3227
2021-12-02,1798862,1798862,0.036710972,49000664,3218
2021-12-03,1802359,1802359,0.036707991,49099908,3513
2021-12-04,1805967,1805967,0.036676908,49239892,2479
2021-12-05,1809368,1809368,0.036677121,49332335,2382
